"DateTime";"240291601000052 - Total batería";"240291601000052 - Máx. celda";"240291601000052 - Mín. celda"
"2025-02-04 01:04:46";26,5;3330;3299
"2025-02-04 01:09:57";26,5;3329;3299
"2025-02-04 01:15:11";26,5;3329;3299
"2025-02-04 01:20:22";26,5;3329;3299
"2025-02-04 01:25:34";26,5;3329;3298
"2025-02-04 01:30:45";26,5;3328;3298
"2025-02-04 01:35:57";26,5;3328;3298
"2025-02-04 01:41:10";26,5;3328;3298
"2025-02-04 01:46:22";26,5;3328;3298
"2025-02-04 01:51:33";26,5;3328;3298
"2025-02-04 01:56:45";26,5;3327;3298
"2025-02-04 02:01:56";26,5;3327;3297
"2025-02-04 02:07:10";26,5;3327;3297
"2025-02-04 02:12:21";26,5;3326;3297
"2025-02-04 02:17:32";26,5;3326;3297
"2025-02-04 02:22:44";26,5;3326;3296
"2025-02-04 02:27:55";26,5;3326;3296
"2025-02-04 02:33:09";26,5;3326;3296
"2025-02-04 02:38:20";26,5;3326;3296
"2025-02-04 02:43:32";26,5;3326;3295
"2025-02-04 02:48:43";26,5;3326;3295
"2025-02-04 02:53:55";26,5;3326;3295
"2025-02-04 02:59:08";26,5;3325;3295
"2025-02-04 03:04:20";26,5;3325;3294
"2025-02-04 03:09:31";26,5;3325;3294
"2025-02-04 03:14:43";26,5;3325;3294
"2025-02-04 03:19:54";26,5;3325;3294
"2025-02-04 03:25:08";26,5;3325;3294
"2025-02-04 03:30:19";26,5;3325;3294
"2025-02-04 03:35:31";26,5;3325;3294
"2025-02-04 03:40:42";26,5;3325;3293
"2025-02-04 03:45:53";26,5;3325;3293
"2025-02-04 03:51:07";26,5;3325;3293
"2025-02-04 03:56:19";26,5;3325;3293
"2025-02-04 04:01:30";26,5;3325;3293
"2025-02-04 04:06:41";26,5;3325;3293
"2025-02-04 04:11:53";26,5;3325;3293
"2025-02-04 04:17:06";26,5;3325;3292
"2025-02-04 04:22:18";26,5;3325;3292
"2025-02-04 04:27:29";26,5;3325;3292
"2025-02-04 04:32:41";26,5;3325;3292
"2025-02-04 04:37:52";26,5;3325;3292
"2025-02-04 04:43:06";26,5;3325;3291
"2025-02-04 04:48:17";26,5;3325;3291
"2025-02-04 04:53:29";26,5;3325;3291
"2025-02-04 04:58:40";26,5;3325;3291
"2025-02-04 05:03:51";26,5;3325;3291
"2025-02-04 05:09:05";26,5;3325;3291
"2025-02-04 05:14:16";26,5;3325;3291
"2025-02-04 05:19:28";26,5;3325;3290
"2025-02-04 05:24:39";26,5;3325;3290
"2025-02-04 05:29:51";26,5;3325;3290
"2025-02-04 05:35:04";26,5;3325;3290
"2025-02-04 05:40:16";26,4;3325;3290
"2025-02-04 05:45:27";26,4;3325;3290
"2025-02-04 05:50:39";26,4;3325;3290
"2025-02-04 05:55:50";26,4;3325;3290
"2025-02-04 06:01:04";26,4;3325;3289
"2025-02-04 06:06:15";26,4;3325;3289
"2025-02-04 06:11:27";26,4;3325;3289
"2025-02-04 06:16:38";26,4;3325;3289
"2025-02-04 06:21:49";26,4;3325;3289
"2025-02-04 06:27:03";26,4;3325;3289
"2025-02-04 06:32:14";26,4;3325;3288
"2025-02-04 06:37:26";26,4;3325;3288
"2025-02-04 06:42:37";26,4;3325;3288
"2025-02-04 06:47:49";26,4;3325;3288
"2025-02-04 06:53:02";26,4;3315;3278
"2025-02-04 06:58:14";26,4;3320;3282
"2025-02-04 07:03:25";26,4;3320;3282
"2025-02-04 07:08:37";26;3273;3235
"2025-02-04 07:13:48";26,3;3305;3266
"2025-02-04 07:19:02";26,2;3292;3254
"2025-02-04 07:24:13";26,3;3315;3275
"2025-02-04 07:29:25";26,3;3317;3276
"2025-02-04 07:34:36";26,3;3314;3273
"2025-02-04 07:39:47";26,4;3319;3278
"2025-02-04 07:45:01";26,4;3320;3279
"2025-02-04 07:50:13";26,4;3321;3279
"2025-02-04 07:55:24";26,4;3321;3281
"2025-02-04 08:00:35";26,4;3322;3281
"2025-02-04 08:05:47";26,4;3322;3280
"2025-02-04 08:10:58";26,4;3324;3280
"2025-02-04 08:16:12";26,3;3315;3274
"2025-02-04 08:21:23";26,3;3306;3266
"2025-02-04 08:26:35";26,3;3318;3277
"2025-02-04 08:31:46";26,3;3314;3273
"2025-02-04 08:36:58";26,3;3306;3267
"2025-02-04 08:42:11";26,2;3293;3258
"2025-02-04 08:47:23";25,7;3267;3165
"2025-02-04 08:52:34";26,2;3293;3265
"2025-02-04 08:57:46";26,3;3300;3271
"2025-02-04 09:02:57";26,3;3305;3274
"2025-02-04 09:08:11";26,3;3308;3276
"2025-02-04 09:13:22";26,3;3310;3277
"2025-02-04 09:18:34";26,3;3310;3278
"2025-02-04 09:23:45";26,3;3314;3278
"2025-02-04 09:28:56";26,3;3309;3276
"2025-02-04 09:34:10";26,2;3296;3269
"2025-02-04 09:39:22";26;3266;3241
"2025-02-04 09:44:33";26,1;3278;3256
"2025-02-04 09:49:44";26,2;3291;3269
"2025-02-04 09:54:56";26,2;3283;3261
"2025-02-04 10:00:10";26,2;3291;3270
"2025-02-04 10:05:21";26,2;3285;3263
"2025-02-04 10:10:32";26,1;3274;3252
"2025-02-04 10:15:44";26,2;3293;3272
"2025-02-04 10:20:55";25,8;3238;3214
"2025-02-04 10:26:09";26,3;3297;3275
"2025-02-04 10:31:20";26,3;3298;3276
"2025-02-04 10:36:32";26,3;3298;3277
"2025-02-04 10:41:43";26,3;3301;3278
"2025-02-04 10:46:55";26;3269;3233
"2025-02-04 10:52:08";26;3268;3245
"2025-02-04 10:57:20";25,9;3249;3222
"2025-02-04 11:02:31";25,7;3230;3188
"2025-02-04 11:07:42";26,2;3291;3270
"2025-02-04 11:12:54";26,2;3294;3273
"2025-02-04 11:18:08";26,3;3295;3274
"2025-02-04 11:23:19";26,2;3293;3271
"2025-02-04 11:28:30";26;3270;3247
"2025-02-04 11:33:42";26;3265;3239
